policy_id,customer_id,policy_type,policy_start_date,policy_end_date,annual_premium,agent_id,region,renewed_flag
96,4575,Life,2021-06-22,2022-12-30,2040.0,87,South,Yes
97,3893,Life,2021-10-15,2025-05-02,494.0,64,South,Yes
98,1844,Auto,2023-11-21,2023-07-29,3310.0,67,South,No
99,3276,Life,2024-02-26,2022-03-13,1590.0,115,South,Yes
100,3360,Auto,2022-05-26,2022-03-17,1659.0,30,South,Yes
101,3887,Auto,2024-01-18,2022-08-14,3041.0,98,South,Yes
102,912,Home,2023-06-24,2025-11-23,2719.0,98,South,No
103,2555,Auto,2024-04-08,2025-07-19,1221.0,113,South,No
104,1228,Home,2024-02-24,2024-07-04,1913.0,78,South,No
105,3128,Home,2023-02-02,2023-11-20,1558.0,76,South,No
106,1031,Auto,2024-10-26,2025-12-18,1663.0,1,South,Yes
107,469,Home,2022-12-18,2022-11-28,1091.0,29,South,Yes
108,2364,Home,2023-12-22,2024-12-19,2200.0,48,South,Yes
109,2034,Auto,2022-05-01,2022-03-18,1756.0,105,South,Yes
110,1274,Auto,2022-08-26,2024-04-16,2331.0,84,South,Yes
111,3024,Auto,2024-06-06,2025-07-01,1946.0,19,South,Yes
112,4699,Auto,2023-09-06,2024-01-16,2333.0,14,South,Yes
113,4678,Life,2023-12-19,2023-05-02,1264.0,117,South,No
114,2085,Home,2023-12-02,2025-05-26,1972.0,24,South,Yes
115,3643,Auto,2021-11-08,2022-02-05,1547.0,15,South,Yes
116,1235,Auto,2022-06-11,2022-02-28,3263.0,40,South,Yes
117,890,Home,2024-08-13,2022-05-21,1067.0,24,South,Yes
118,4938,Auto,2022-04-04,2024-03-07,2681.0,85,South,Yes
119,1831,Home,2024-10-21,2025-04-12,624.0,40,South,No
120,4860,Auto,2022-04-10,2024-05-12,2144.0,18,South,Yes
121,4177,Auto,2021-12-03,2025-08-25,1446.0,9,South,Yes
122,1759,Auto,2023-04-07,2025-05-14,1692.0,20,South,Yes
123,4591,Home,2021-07-18,2025-09-02,3217.0,15,South,Yes
124,3962,Auto,2023-04-18,2024-10-30,906.0,78,South,Yes
125,1426,Home,2022-12-17,2023-12-30,2478.0,69,South,Yes
126,2388,Life,2022-12-13,2024-12-28,550.0,26,South,Yes
127,4312,Home,2024-10-20,2025-10-20,2124.0,90,South,Yes
128,3094,Life,2021-04-12,2023-04-18,1628.0,60,South,Yes
129,4284,Auto,2023-08-22,2025-12-24,1223.0,29,South,No
130,934,Auto,2024-03-05,2025-01-09,2306.0,61,South,Yes
131,2801,Auto,2022-05-21,2024-06-28,1909.0,90,South,Yes
132,4017,Auto,2024-05-28,2023-06-27,2903.0,46,South,Yes
133,2741,Auto,2023-02-14,2022-08-17,2412.0,103,South,Yes
134,853,Life,2021-04-12,2024-12-11,3332.0,82,South,Yes
135,1738,Home,2022-12-10,2023-06-25,1894.0,102,South,Yes
136,976,Home,2021-08-07,2022-01-12,1956.0,22,South,Yes
137,1669,Life,2023-03-01,2022-03-09,1521.0,24,South,Yes
138,4089,Auto,2023-07-01,2025-02-14,1446.0,112,South,Yes
139,4365,Home,2021-08-03,2024-12-18,2017.0,106,South,Yes
140,1044,Home,2024-10-18,2024-04-21,2834.0,30,South,Yes
141,2467,Home,2024-08-14,2023-07-14,3011.0,17,South,Yes
142,1367,Auto,2021-04-30,2023-07-03,1687.0,38,South,Yes
143,1568,Auto,2022-12-11,2025-03-08,1052.0,22,South,Yes
144,2732,Auto,2022-06-01,2024-10-27,3182.0,94,South,No
145,1049,Health,2022-02-05,2025-07-06,2592.0,20,South,Yes
146,3473,Home,2024-07-01,2022-10-13,2416.0,93,South,Yes
147,959,Auto,2024-02-28,2025-09-17,1890.0,1,South,Yes
148,4374,Home,2024-02-27,2023-10-03,1797.0,54,South,Yes
149,1609,Auto,2022-06-29,2025-09-08,1535.0,43,South,Yes
150,4412,Home,2021-04-16,2025-07-01,1563.0,59,South,Yes
151,1017,Auto,2024-07-21,2024-08-05,1528.0,63,South,Yes
152,1418,Auto,2023-06-22,2022-12-14,1981.0,30,South,Yes
153,3105,Auto,2023-04-10,2025-01-04,960.0,104,South,No
154,3615,Home,2022-04-23,2025-07-29,2726.0,57,South,No
155,4626,Auto,2023-08-07,2023-12-16,2952.0,107,South,Yes
156,706,Home,2024-06-29,2022-04-17,567.0,6,South,Yes
157,580,Home,2023-05-31,2024-02-25,3004.0,10,South,No
158,1499,Home,2021-01-11,2025-05-29,1309.0,76,South,No
159,4320,Auto,2022-03-04,2022-05-15,1239.0,76,South,Yes
160,2719,Auto,2021-04-02,2025-03-12,3510.0,26,South,Yes
161,4731,Home,2023-06-16,2024-12-09,1316.0,33,South,No
162,4803,Life,2023-07-08,2022-05-17,1160.0,33,South,Yes
163,3217,Auto,2021-06-15,2024-02-01,3122.0,26,South,Yes
164,2326,Auto,2023-12-08,2023-04-14,2525.0,59,South,Yes
165,2201,Auto,2022-04-05,2023-09-07,1029.0,112,South,No
166,55,Life,2021-02-06,2022-04-21,2387.0,100,South,Yes
167,1943,Health,2022-06-05,2022-06-04,558.0,52,South,Yes
168,3274,Home,2024-07-22,2022-04-15,1877.0,27,South,Yes
169,2599,Home,2022-07-08,2024-01-02,1430.0,107,South,Yes
170,947,Auto,2021-08-24,2022-05-24,1172.0,37,South,Yes
171,2456,Auto,2024-07-03,2024-07-28,1666.0,94,South,No
172,780,Home,2022-07-27,2022-11-13,1221.0,54,South,Yes
173,2437,Auto,2023-06-15,2024-05-24,1405.0,86,South,No
174,4215,Home,2022-04-07,2024-05-02,2149.0,119,South,Yes
175,1753,Auto,2023-12-03,2022-02-25,2065.0,17,South,Yes
176,1382,Home,2024-03-04,2023-05-19,895.0,61,South,No
177,1967,Home,2022-09-04,2025-03-08,1528.0,116,South,Yes
178,3931,Auto,2023-11-17,2024-10-23,2178.0,28,South,Yes
179,434,Home,2023-12-27,2022-09-07,1298.0,80,South,Yes
180,2145,Auto,2022-03-10,2023-10-13,3151.0,100,South,Yes
181,2900,Auto,2021-12-19,2022-05-16,2484.0,50,South,Yes
182,641,Auto,2024-10-10,2024-06-24,1163.0,100,South,Yes
183,2599,Home,2022-05-17,2023-12-14,2196.0,24,South,No
184,171,Auto,2022-02-22,2023-03-07,1099.0,115,South,Yes
185,3641,Home,2021-10-11,2025-05-09,2219.0,62,South,Yes
186,1063,Auto,2022-10-30,2022-03-29,1444.0,69,South,No
187,624,Auto,2024-03-24,2025-01-17,1123.0,100,South,Yes
188,1333,Auto,2024-03-18,2024-11-01,3126.0,111,South,No
189,4127,Home,2021-06-28,2024-05-10,3020.0,56,South,No
190,3295,Auto,2024-11-23,2024-02-25,1095.0,2,South,Yes
191,3559,Auto,2024-02-11,2023-11-03,1969.0,19,South,Yes
192,689,Home,2024-06-22,2025-01-13,2498.0,91,South,No
193,63,Auto,2021-12-13,2025-02-15,1650.0,85,South,Yes
194,3891,Auto,2024-08-01,2022-11-25,2399.0,19,South,Yes
195,1293,Auto,2023-01-04,2022-02-10,1544.0,61,South,Yes
196,2565,Auto,2024-04-21,2025-02-14,1622.0,59,South,Yes
197,2840,Home,2024-03-27,2024-10-11,1684.0,51,South,Yes
198,109,Auto,2023-08-26,2023-08-02,1144.0,21,South,Yes
199,1675,Home,2024-03-12,2023-04-18,1077.0,108,South,Yes
200,1694,Auto,2023-12-12,2022-01-15,912.0,48,South,Yes
201,2252,Home,2024-02-02,2024-11-03,1012.0,62,South,No
202,2984,Home,2022-04-22,2025-03-07,1777.0,107,South,Yes
203,144,Home,2022-12-13,2022-04-26,2070.0,98,South,Yes
204,4274,Auto,2024-11-21,2024-05-30,944.0,91,South,No
205,3871,Auto,2024-12-02,2023-03-14,1164.0,92,South,Yes
206,3820,Home,2023-01-19,2024-06-03,1710.0,48,South,Yes
207,784,Auto,2024-10-25,2024-05-23,1780.0,68,South,Yes
208,2180,Life,2023-01-12,2022-03-09,3155.0,63,South,Yes
209,2427,Home,2024-09-29,2023-07-27,2090.0,23,South,Yes
210,4066,Life,2023-05-27,2022-03-20,2299.0,94,South,Yes
211,4155,Life,2022-10-10,2025-06-11,1257.0,65,South,Yes
212,231,Auto,2022-08-14,2025-01-07,3523.0,56,South,Yes
213,2247,Home,2024-12-02,2025-02-02,1241.0,32,South,Yes
214,4154,Home,2021-12-18,2023-11-10,2501.0,49,South,Yes
215,4423,Life,2024-07-20,2025-07-02,2994.0,116,South,Yes
216,3342,Auto,2022-12-03,2023-12-23,2722.0,120,South,Yes
217,3746,Home,2021-01-19,2022-08-10,1655.0,51,South,Yes
218,2085,Auto,2022-03-24,2024-02-10,1013.0,66,South,No
219,2504,Life,2021-06-09,2024-05-12,2338.0,28,South,Yes
220,3697,Auto,2023-09-05,2025-09-13,1534.0,18,South,Yes
221,2753,Auto,2022-07-24,2024-05-12,2426.0,45,South,Yes
222,3181,Home,2023-05-26,2022-06-21,2325.0,40,South,Yes
223,4514,Auto,2021-02-14,2025-10-28,2199.0,44,South,Yes
224,4601,Auto,2024-03-04,2025-04-11,1573.0,61,South,Yes
225,4159,Auto,2022-05-28,2024-06-19,1964.0,44,South,Yes
226,2507,Life,2024-07-07,2025-01-22,1350.0,75,South,Yes
227,902,Auto,2023-01-20,2025-07-20,1766.0,20,South,Yes
228,15,Home,2022-11-17,2024-10-16,928.0,20,South,Yes
229,3673,Home,2021-01-27,2024-07-26,2880.0,50,South,Yes
230,2843,Home,2024-04-16,2024-02-19,3269.0,5,South,Yes
231,4342,Auto,2021-12-28,2025-11-24,3190.0,91,South,Yes
232,1268,Home,2022-10-05,2023-02-21,3211.0,72,South,No
233,1219,Auto,2021-11-25,2024-08-30,959.0,52,South,Yes
234,4142,Home,2021-04-03,2024-04-24,1593.0,6,South,Yes
235,4680,Auto,2022-11-11,2024-05-19,2831.0,101,South,No
236,2211,Home,2024-06-20,2022-07-24,2143.0,60,South,No
237,3595,Auto,2021-08-15,2025-03-04,1497.0,67,South,No
238,3242,Auto,2023-01-16,2025-08-04,1883.0,82,South,Yes
239,1774,Life,2023-04-14,2025-12-03,2216.0,100,South,Yes
240,4232,Auto,2021-01-25,2023-12-09,2450.0,92,South,Yes
241,815,Life,2022-12-15,2024-08-22,2293.0,100,South,No
242,690,Home,2023-09-08,2024-04-21,2213.0,86,South,Yes
243,2680,Auto,2022-10-05,2023-09-01,1466.0,66,South,Yes
244,3017,Auto,2023-10-03,2023-03-25,2678.0,95,South,Yes
245,330,Home,2024-12-18,2025-08-05,1737.0,80,South,Yes
246,1909,Auto,2021-01-09,2022-02-14,1557.0,113,South,Yes
247,1085,Life,2023-01-31,2023-09-04,1836.0,6,South,No
248,4363,Home,2024-08-20,2025-06-14,2869.0,115,South,Yes
249,4551,Home,2023-08-02,2024-01-16,1683.0,69,South,Yes
250,2382,Auto,2022-07-16,2022-10-20,1919.0,24,South,No
251,29,Life,2023-02-28,2024-02-29,3148.0,69,South,Yes
252,4985,Life,2022-09-26,2023-10-19,2083.0,6,South,No
253,2471,Home,2021-08-26,2022-08-27,1943.0,4,South,Yes
254,1536,Home,2024-12-17,2023-03-29,1309.0,42,South,No
255,4303,Life,2021-11-06,2022-01-17,1648.0,89,South,Yes
256,1147,Auto,2021-10-01,2024-02-13,2251.0,5,South,No
257,4413,Home,2023-01-02,2025-10-07,1087.0,83,South,No
258,312,Auto,2023-01-13,2023-08-17,1139.0,107,South,Yes
259,3261,Home,2023-10-28,2023-08-19,3375.0,93,South,Yes
260,3742,Auto,2022-09-02,2025-07-05,2000.0,61,South,Yes
261,4555,Auto,2023-05-17,2025-10-03,2062.0,79,South,Yes
262,3033,Auto,2021-11-30,2025-03-14,2428.0,44,South,Yes
263,2666,Home,2024-05-25,2025-07-23,3169.0,57,South,Yes
264,4206,Auto,2023-09-17,2024-01-01,1842.0,88,South,Yes
265,733,Home,2024-04-06,2023-02-25,616.0,5,South,Yes
266,352,Auto,2024-06-10,2022-06-20,3265.0,50,South,No
267,1240,Auto,2021-05-21,2024-03-16,1242.0,105,South,Yes
268,238,Home,2021-12-05,2024-04-08,1699.0,2,South,Yes
269,3292,Auto,2021-02-05,2023-09-30,3011.0,99,South,Yes
270,1270,Auto,2021-05-07,2022-11-16,1085.0,86,South,Yes
271,4897,Auto,2021-03-14,2023-06-02,2527.0,117,South,Yes
272,1718,Home,2021-02-26,2024-10-02,2274.0,111,South,Yes
273,3416,Auto,2021-06-29,2024-02-25,2475.0,43,South,Yes
274,2625,Home,2023-02-21,2023-02-18,2708.0,4,South,Yes
275,2867,Home,2022-09-07,2023-08-14,1219.0,98,South,Yes
276,3155,Auto,2024-09-27,2022-11-05,3178.0,7,South,Yes
277,2168,Life,2023-12-10,2022-01-08,1438.0,51,South,Yes
278,1012,Auto,2023-03-19,2025-11-10,2280.0,71,South,No
279,2835,Auto,2021-11-13,2025-04-23,1906.0,37,South,No
280,146,Life,2021-12-11,2023-04-18,2463.0,65,South,No
281,618,Life,2022-08-15,2023-07-21,1647.0,118,South,Yes
282,1474,Home,2021-03-16,2023-08-16,2281.0,61,South,No
283,3655,Auto,2024-09-11,2023-08-23,2899.0,87,South,Yes
284,3100,Home,2023-07-15,2023-03-16,2177.0,119,South,Yes
285,4979,Auto,2021-10-06,2022-04-02,2146.0,93,South,Yes
286,3365,Auto,2022-04-06,2023-06-23,1123.0,52,South,Yes
287,4159,Home,2023-06-19,2024-09-06,1478.0,87,South,Yes
288,1354,Auto,2022-04-14,2024-02-03,1238.0,49,South,No
289,3186,Home,2024-09-20,2023-06-23,2470.0,38,South,Yes
290,1495,Home,2022-01-19,2023-10-29,1429.0,25,South,Yes
291,1866,Life,2021-05-22,2022-12-16,2262.0,25,South,Yes
292,4844,Auto,2023-03-07,2023-07-09,2394.0,31,South,Yes
293,1336,Life,2024-01-08,2024-01-09,1607.0,94,South,Yes
294,518,Life,2022-06-27,2025-04-11,2132.0,33,South,Yes
295,3672,Life,2022-01-15,2023-05-05,2143.0,43,South,Yes
296,1036,Home,2022-05-30,2022-12-13,3234.0,21,South,Yes
297,2937,Home,2024-10-21,2022-02-04,1009.0,112,South,Yes
298,1808,Life,2021-03-30,2024-01-17,2163.0,30,South,Yes
299,2395,Home,2023-03-26,2022-10-11,2312.0,86,South,No
300,3981,Home,2023-02-26,2023-02-19,1808.0,114,South,No
301,2038,Home,2022-01-27,2022-09-29,1987.0,10,South,Yes
302,4823,Home,2023-05-22,2022-06-16,3113.0,44,South,Yes
303,228,Life,2021-04-13,2022-04-19,2750.0,114,South,Yes
304,2992,Life,2021-04-13,2023-11-07,1156.0,38,South,No
305,790,Home,2023-02-13,2024-08-14,3487.0,95,South,Yes
306,583,Home,2022-02-20,2025-06-30,2226.0,26,South,Yes
307,4137,Auto,2021-12-10,2025-06-16,2089.0,15,South,Yes
308,971,Home,2022-02-10,2022-12-01,1928.0,86,South,Yes
309,810,Auto,2022-02-24,2025-12-09,3169.0,105,South,Yes
310,4708,Life,2023-06-06,2025-05-22,3320.0,4,South,Yes
311,3438,Life,2021-12-15,2024-03-30,2158.0,43,South,Yes
312,3337,Auto,2023-06-27,2022-07-15,2379.0,67,South,No
313,2653,Home,2021-09-30,2024-11-24,2454.0,30,South,Yes
314,122,Auto,2022-12-24,2025-01-24,3506.0,26,South,Yes
315,3925,Life,2021-12-11,2022-04-20,1596.0,43,South,No
316,1212,Auto,2024-03-03,2022-05-12,3479.0,1,South,Yes
317,707,Home,2021-09-07,2022-08-07,2073.0,74,South,Yes
318,2710,Home,2023-04-14,2022-08-14,1104.0,74,South,No
319,3855,Home,2022-11-08,2024-05-23,1518.0,110,South,Yes
320,4776,Home,2024-07-12,2023-03-14,2737.0,19,South,Yes
321,2699,Auto,2024-08-06,2022-02-22,1076.0,101,South,No
322,2136,Home,2021-12-27,2025-05-12,2163.0,19,South,No
323,719,Auto,2022-04-04,2024-05-29,1587.0,110,South,Yes
324,2638,Auto,2023-11-29,2023-09-07,2705.0,93,South,Yes
325,536,Auto,2024-07-13,2025-06-24,1617.0,77,South,Yes
326,2845,Auto,2022-03-16,2024-01-29,1468.0,119,South,No
327,1239,Home,2023-03-29,2025-09-30,501.0,36,South,Yes
328,1231,Life,2023-05-09,2024-09-26,2414.0,79,South,Yes
329,41,Home,2021-04-25,2024-10-27,2766.0,12,South,Yes
330,4048,Home,2022-02-08,2023-04-12,1449.0,118,South,No
331,411,Home,2021-02-10,2022-06-04,1547.0,108,South,No
332,830,Home,2021-06-09,2022-06-19,2212.0,74,South,Yes
333,4731,Life,2024-09-13,2025-03-21,2340.0,66,South,Yes
334,4448,Home,2022-11-23,2024-01-13,1097.0,47,South,Yes
335,1906,Home,2023-10-11,2024-10-30,2932.0,50,South,No
336,2368,Home,2023-09-06,2025-06-14,1582.0,63,South,Yes
337,2362,Home,2023-08-17,2025-11-09,2299.0,113,South,Yes
338,717,Auto,2021-03-25,2025-03-29,1675.0,29,South,No
339,2398,Auto,2024-09-17,2023-07-23,2338.0,117,South,Yes
340,1822,Home,2024-11-07,2024-09-09,1525.0,61,South,Yes
341,323,Home,2023-06-28,2022-03-31,2602.0,66,South,Yes
342,222,Auto,2022-02-02,2024-02-28,935.0,33,South,Yes
343,4015,Auto,2024-03-27,2024-01-11,1487.0,22,South,Yes
344,1438,Home,2023-10-25,2022-06-04,2392.0,37,South,No
345,3845,Home,2022-12-22,2023-10-24,1446.0,106,South,Yes
346,2233,Home,2024-03-19,2024-06-01,2304.0,82,South,Yes
347,3623,Home,2022-05-04,2024-11-27,1153.0,58,South,Yes
348,4780,Auto,2023-01-31,2023-08-07,2541.0,78,South,Yes
349,4151,Auto,2022-08-28,2025-06-05,1546.0,109,South,Yes
350,1992,Home,2021-10-10,2024-03-24,993.0,68,South,No
351,1651,Life,2022-11-15,2023-03-02,2009.0,79,South,Yes
352,1781,Auto,2024-12-24,2025-01-23,2389.0,5,South,Yes
353,4142,Auto,2022-02-27,2024-08-31,1622.0,9,South,Yes
354,1893,Auto,2023-12-27,2022-07-24,2458.0,6,South,Yes
355,3750,Auto,2021-08-05,2025-02-28,1069.0,57,South,Yes
356,4294,Life,2023-09-23,2025-05-08,958.0,80,South,Yes
357,3510,Home,2023-11-27,2022-11-06,945.0,81,South,No
358,4886,Life,2022-04-19,2024-04-23,2246.0,99,South,Yes
359,4536,Life,2021-06-25,2024-04-18,2380.0,25,South,Yes
360,2756,Home,2022-08-14,2024-08-09,1882.0,49,South,Yes
361,2804,Home,2023-07-16,2023-11-24,2308.0,33,South,No
362,1543,Home,2022-07-06,2023-03-15,1960.0,113,South,Yes
363,202,Auto,2024-06-17,2024-10-21,1583.0,83,South,No
364,3659,Life,2021-07-15,2024-11-12,3598.0,18,South,Yes
365,4968,Auto,2021-10-29,2024-11-26,1392.0,92,South,Yes
366,62,Life,2021-01-09,2022-10-10,2045.0,38,South,Yes
367,3808,Life,2024-02-02,2025-09-10,2172.0,2,South,Yes
368,2382,Home,2024-07-09,2022-09-01,2328.0,119,South,Yes
369,884,Life,2024-04-20,2024-05-06,1870.0,96,South,Yes
370,3143,Auto,2022-04-23,2023-06-17,2267.0,116,South,Yes
371,4954,Home,2022-11-09,2023-09-04,3153.0,106,South,Yes
372,1847,Life,2022-01-11,2023-02-28,1130.0,52,South,No
373,2978,Auto,2023-12-13,2023-03-18,502.0,48,South,Yes
374,3330,Home,2021-06-23,2023-06-05,911.0,105,South,Yes
375,2014,Auto,2022-01-25,2025-04-16,1590.0,105,South,Yes
376,4689,Auto,2024-04-21,2024-04-10,1597.0,105,South,Yes
377,4836,Home,2022-01-29,2025-06-19,1402.0,1,South,Yes
378,2058,Auto,2023-09-18,2022-05-01,1637.0,78,South,Yes
379,934,Auto,2021-03-22,2022-04-02,1836.0,109,South,Yes
380,4233,Home,2021-08-12,2023-01-05,987.0,33,South,No
381,2070,Auto,2023-12-22,2025-07-24,1761.0,43,South,Yes
382,3618,Home,2023-06-16,2022-11-12,428.0,76,South,Yes
383,2956,Auto,2024-02-14,2022-03-28,997.0,61,South,Yes
384,243,Home,2023-12-26,2023-05-10,2980.0,45,South,Yes
385,921,Home,2024-09-03,2023-05-23,2378.0,98,South,Yes
386,174,Home,2024-09-17,2025-07-03,3483.0,21,South,No
387,605,Auto,2024-10-17,2025-11-17,3371.0,74,South,Yes
388,3668,Auto,2024-11-07,2022-12-04,3245.0,56,South,Yes
389,317,Auto,2021-08-19,2022-09-29,3506.0,36,South,No
390,4843,Auto,2024-07-27,2022-04-15,2057.0,86,South,Yes
391,4817,Auto,2024-05-08,2023-09-08,1487.0,79,South,Yes
392,171,Home,2022-12-21,2024-02-03,2321.0,27,South,No
393,3676,Home,2024-10-01,2022-02-15,1564.0,85,South,Yes
394,1512,Home,2024-01-02,2022-08-11,989.0,4,South,Yes
395,4674,Home,2024-11-10,2022-09-29,3537.0,45,South,No
396,950,Home,2023-12-05,2025-03-13,2161.0,82,South,Yes
397,3554,Auto,2022-07-13,2025-09-05,2895.0,108,South,Yes
398,290,Home,2023-09-14,2024-01-07,1996.0,60,South,Yes
399,3065,Home,2022-09-07,2023-08-11,2919.0,31,South,No
400,1073,Home,2024-01-19,2025-12-18,3123.0,49,South,Yes
