claim_id,policy_id,customer_id,adjuster_id,claim_date,claim_type,claim_amount,claim_status,days_to_settle,fraud_flag,fraud_score,region
31,4433,4168,8,2025-01-28,Home,9549.0,Approved,53,0,0.62,South
32,2623,1689,5,2022-03-11,Home,1947.0,Pending,4,0,0.07,South
33,7329,1098,4,2023-01-14,Auto,18042.0,Approved,41,1,0.09,South
34,1935,2242,19,2023-02-16,Home,14086.0,Denied,52,0,0.53,South
35,1814,3870,25,2024-09-07,Home,3601.0,Approved,53,0,0.48,South
36,3331,4736,1,2021-07-28,Auto,8891.0,Approved,39,1,0.7,South
37,5693,1222,12,2021-08-02,Life,16762.0,Approved,15,0,0.18,South
38,2110,4166,4,2025-03-18,Auto,7874.0,Denied,56,0,0.4,South
39,1421,2068,29,2024-12-04,Auto,14930.0,Pending,57,0,0.04,South
40,7064,1163,3,2025-03-26,Home,18086.0,Approved,43,0,0.74,South
41,2028,830,,2021-08-10,Home,13579.0,Denied,27,0,0.5,South
42,1630,2475,38,2022-12-19,Auto,12820.0,Approved,49,0,0.41,South
43,5162,701,3,2023-05-07,Life,10398.0,Approved,11,0,0.59,South
44,2997,4059,29,2024-01-17,Auto,11312.0,Approved,6,0,0.72,South
45,6666,4985,8,2022-07-29,Auto,17820.0,Approved,52,1,0.44,South
46,1591,4552,30,2021-11-04,Auto,8286.0,Approved,39,1,0.86,South
47,4216,2063,19,2023-04-10,Home,17162.0,Approved,25,0,0.79,South
48,4267,1085,9,2023-10-21,Auto,12425.0,Approved,36,0,0.26,South
49,5409,1836,15,2023-01-31,Home,3056.0,Approved,13,0,0.06,South
50,3774,2378,7,2024-12-10,Auto,15565.0,Approved,48,0,0.21,South
51,3496,4437,26,2022-08-12,Home,10722.0,Approved,7,0,0.38,South
52,5388,3466,22,2023-07-05,Home,1295.0,Approved,31,0,0.68,South
53,7867,759,22,2023-03-18,Home,11259.0,Denied,33,0,0.27,South
54,7091,3236,17,2025-02-10,Life,981.0,Pending,53,0,0.14,South
55,1574,3402,4,2025-05-02,Life,15892.0,Denied,45,0,0.91,South
56,5648,1622,26,2024-10-14,Auto,631.0,Approved,54,0,0.26,South
57,5256,3114,33,2025-09-15,Home,15186.0,Approved,54,1,0.21,South
58,4695,2273,26,2023-10-22,Home,1961.0,Approved,62,0,0.02,South
59,3476,2879,10,2022-05-08,Auto,3681.0,Approved,24,1,0.62,South
60,7624,4080,22,2021-03-28,Home,12152.0,Approved,12,0,0.79,South
61,7457,4343,6,2022-02-17,Auto,12555.0,Approved,34,0,0.19,South
62,7864,2600,19,2022-12-13,Auto,5428.0,Denied,18,0,0.14,South
63,3456,4306,20,2023-05-20,Auto,17194.0,Approved,25,0,0.55,South
64,1088,3037,3,2023-09-10,Life,747.0,Denied,60,0,0.66,South
65,4630,4310,31,2022-05-11,Home,15854.0,Denied,42,0,0.18,South
66,1376,2859,19,2024-02-01,Auto,14347.0,Approved,51,0,0.19,South
67,7516,4279,36,2021-10-28,Auto,6950.0,Approved,40,0,0.83,South
68,2765,2631,2,2024-06-18,Home,17657.0,Approved,58,0,0.99,South
69,6401,4286,33,2023-10-21,Life,14708.0,Approved,54,0,0.29,South
70,391,894,37,2024-04-13,Home,11681.0,Approved,49,0,0.1,South
71,1836,3482,8,2024-08-28,Auto,2428.0,Pending,44,0,0.26,South
72,2301,2998,10,2022-09-17,Auto,4066.0,Approved,17,0,0.08,South
73,7601,3709,12,2022-10-29,Auto,4027.0,Denied,36,0,0.3,South
74,709,1933,29,2023-07-23,Home,12792.0,Approved,54,0,0.84,South
75,4987,3203,9,2024-07-18,Life,17300.0,Approved,59,0,0.05,South
76,1064,891,4,2023-09-05,Auto,17333.0,Approved,16,0,0.24,South
77,953,1699,25,2024-07-23,Home,13830.0,Approved,60,0,0.13,South
78,1908,3350,35,2024-12-14,Auto,14825.0,Denied,6,0,0.3,South
79,1329,4110,1,2023-07-12,Auto,3257.0,Approved,29,0,0.25,South
80,7725,1032,5,2022-08-31,Home,17069.0,Denied,19,0,0.67,South
81,3750,3532,17,2023-09-10,Home,4639.0,Approved,35,0,0.58,South
82,2647,2522,,2025-06-24,Life,15547.0,Approved,29,0,0.1,South
83,4357,982,31,2025-01-18,Home,14168.0,Approved,20,0,0.39,South
84,7181,415,34,2022-06-07,Home,15102.0,Denied,58,0,0.23,South
85,6982,3858,35,2022-11-20,Home,11471.0,Denied,32,0,0.13,South
86,5501,4065,11,2024-09-19,Auto,7096.0,Approved,3,0,0.73,South
87,2526,1995,10,2025-01-27,Home,7762.0,Approved,39,0,0.87,South
88,2951,3010,7,2022-10-25,Auto,16720.0,Approved,4,0,0.11,South
89,3622,2864,32,2023-09-16,Auto,10972.0,,44,0,0.61,South
90,4925,173,19,2024-03-31,Auto,8265.0,Approved,8,0,0.41,South
91,5386,2098,17,2023-02-15,Life,362.0,Approved,34,0,0.49,South
92,1273,4160,13,2022-04-29,Home,7550.0,Denied,6,0,0.73,South
93,7701,1768,37,2025-01-19,Auto,1609.0,Denied,62,0,0.74,South
94,2930,3892,15,2024-01-27,Home,1169.0,Approved,20,0,0.64,South
95,2365,2279,35,2023-10-28,Home,4236.0,Approved,52,0,0.59,South
96,608,4823,40,2022-04-09,Auto,10351.0,Denied,47,0,0.82,South
97,7706,4899,30,2024-11-14,Auto,2381.0,Denied,6,0,0.13,South
98,3289,811,8,2022-08-26,Home,1448.0,Denied,29,0,0.21,South
99,5538,2845,28,2024-05-14,Home,16875.0,Approved,35,0,0.34,South
100,5421,4208,1,2023-08-18,Auto,7829.0,Approved,48,0,0.31,South
101,34,180,29,2021-08-13,Auto,4746.0,Approved,46,0,0.33,South
102,4828,3009,11,2022-01-17,Home,11441.0,Approved,38,0,0.11,South
103,4909,2922,18,2023-04-28,Auto,7428.0,Denied,13,0,0.29,South
104,7165,679,9,2023-12-10,Auto,10706.0,Approved,42,0,0.31,South
105,1887,4383,33,2024-11-04,Home,6041.0,Approved,30,0,0.79,South
106,2795,4203,12,2021-09-02,Auto,6573.0,Approved,4,0,0.4,South
107,1918,4653,31,2025-06-21,Home,10653.0,Denied,58,0,0.43,South
108,7298,1323,10,2023-06-30,Home,585.0,Approved,46,0,0.96,South
109,3301,2851,36,2021-08-28,Home,2290.0,Approved,33,0,0.69,South
110,4373,1763,21,2022-02-15,Home,8552.0,Approved,45,0,0.73,South
111,4286,2506,26,2022-09-23,Auto,17624.0,Denied,21,0,0.62,South
112,5753,1715,40,2023-04-09,Home,13077.0,Approved,18,1,0.71,South
113,1011,1337,19,2022-01-15,Home,12372.0,Approved,62,0,0.01,South
114,4935,4581,9,2024-12-19,Auto,13488.0,Approved,15,0,0.74,South
115,725,3485,21,2022-04-07,Auto,17613.0,Approved,41,0,0.68,South
116,4348,1659,30,2023-08-06,Home,8860.0,Approved,44,0,0.29,South
117,6957,4693,35,2021-09-08,Auto,16517.0,Denied,37,0,0.13,South
118,3660,3473,27,2024-11-08,Home,17624.0,Approved,23,0,0.34,South
119,2341,3144,1,2023-12-24,Home,8962.0,Approved,45,0,0.15,South
120,6845,4585,1,2024-02-24,Auto,14298.0,Approved,56,0,0.02,South
121,4457,3699,17,2021-10-22,Home,14785.0,Denied,47,0,0.25,South
122,3385,1866,7,2022-12-16,Auto,4318.0,Approved,41,0,0.56,South
123,1578,1472,,2023-02-19,Home,16789.0,Denied,53,0,0.54,South
124,7896,3947,30,2022-02-04,Life,17284.0,Approved,35,0,0.79,South
125,16,2074,22,2025-06-24,Auto,7228.0,Denied,60,0,0.36,South
126,7964,2887,40,2021-07-19,Auto,9518.0,Denied,29,0,0.39,South
127,6967,1096,17,2022-09-15,Home,761.0,Denied,25,0,0.05,South
128,3502,1607,11,2022-06-13,Life,13666.0,Approved,40,0,0.29,South
129,1148,79,16,2024-06-14,Home,13415.0,Pending,39,0,0.34,South
130,2971,1092,14,2021-06-30,Auto,10499.0,Approved,8,0,0.77,South
131,3481,3538,6,2022-01-15,Auto,1654.0,Approved,10,0,0.06,South
132,4420,3017,8,2023-06-11,Life,9796.0,Approved,16,1,0.04,South
133,1529,1032,6,2022-07-13,Home,7929.0,Denied,57,0,0.17,South
134,1180,4722,16,2023-03-05,Life,5561.0,Denied,7,0,0.97,South
135,7830,3109,20,2022-10-24,Home,2226.0,Approved,41,0,0.88,South
136,6416,2381,40,2023-08-13,Auto,2413.0,Approved,7,0,0.13,South
137,4751,2242,23,2024-08-23,Home,1978.0,Approved,11,0,0.04,South
138,7991,310,37,2022-11-16,Auto,10996.0,Denied,26,0,0.49,South
139,1263,503,12,2024-12-15,Home,6876.0,Approved,3,0,0.81,South
140,6176,1438,23,2021-12-21,Life,17185.0,Denied,26,1,0.61,South
141,6936,25,16,2022-01-10,Auto,15384.0,Denied,11,0,0.76,South
142,2811,4310,15,2024-10-27,Home,619.0,Approved,41,0,0.45,South
143,4232,2259,34,2025-01-29,Home,5213.0,Denied,31,0,0.59,South
144,277,4996,34,2023-03-20,Home,333.0,Denied,5,0,0.28,South
145,756,1252,40,2024-12-25,Auto,15526.0,Pending,53,0,0.82,South
146,5446,259,23,2024-06-02,Home,9861.0,Denied,32,0,0.45,South
147,6537,2534,11,2022-03-17,Auto,18137.0,Denied,55,0,0.2,South
148,6963,4373,4,2025-01-29,Auto,15332.0,Approved,10,0,0.6,South
149,222,3681,33,2024-08-30,Life,4424.0,Denied,11,0,0.22,South
150,5120,1727,37,2025-06-17,Home,5823.0,Approved,5,0,0.61,South
151,6296,870,31,2022-09-28,Auto,7034.0,Approved,40,0,0.32,South
152,7857,1700,35,2024-06-26,Auto,15421.0,Approved,26,1,0.74,South
153,6231,1409,21,2023-11-08,Auto,2763.0,Approved,17,0,0.41,South
154,1635,1124,1,2023-10-21,Home,9714.0,Approved,56,0,0.39,South
155,6225,3552,17,2022-03-03,Home,2482.0,Approved,4,1,0.88,South
156,3964,688,35,2024-02-06,Auto,15322.0,Approved,39,0,0.45,South
157,7276,586,2,2023-12-03,Home,11092.0,Approved,54,0,0.98,South
158,4348,2551,10,2022-05-02,Home,8589.0,Approved,62,0,0.25,South
159,1026,3129,8,2021-08-24,Home,4012.0,Approved,43,0,0.89,South
160,2933,3707,6,2024-08-15,Auto,6983.0,Denied,13,0,0.24,South
161,1901,3582,7,2024-02-21,Auto,13553.0,Approved,10,0,0.9,South
162,6823,3708,37,2024-02-25,Home,1922.0,Approved,60,0,0.93,South
163,3573,4843,12,2022-08-11,Home,15326.0,Denied,27,0,0.57,South
164,3384,2985,,2025-04-08,Home,5805.0,Approved,12,0,0.49,South
165,3737,4707,15,2024-01-21,Home,11405.0,Approved,21,0,0.84,South
166,983,1516,14,2025-02-15,Auto,9769.0,Approved,44,0,0.77,South
167,3566,1982,40,2022-10-26,Auto,17509.0,Approved,5,0,0.9,South
168,3623,4388,12,2021-03-07,Home,6426.0,Approved,49,0,0.23,South
169,6522,4089,25,2022-08-28,Home,14649.0,Approved,41,0,0.74,South
170,7471,3579,37,2023-03-14,Home,4215.0,Denied,49,0,0.07,South
171,502,1482,18,2023-03-01,Home,447.0,Approved,49,0,0.32,South
172,2687,464,34,2025-02-06,Home,548.0,Denied,5,0,0.73,South
173,4548,148,4,2023-06-13,Auto,2322.0,Denied,6,0,0.0,South
174,514,708,1,2024-06-15,Life,4245.0,Approved,19,0,0.98,South
175,2606,1443,16,2022-04-15,Home,2498.0,Approved,55,0,0.07,South
176,4934,4715,8,2025-02-23,Auto,8253.0,Approved,61,0,0.38,South
177,2387,4250,32,2021-02-09,Auto,546.0,Approved,32,0,0.16,South
178,5808,4705,24,2024-06-18,Auto,15696.0,,23,0,0.7,South
179,6764,4096,27,2023-04-08,Auto,9585.0,Approved,40,0,0.73,South
180,7875,314,17,2022-05-07,Life,12950.0,Approved,12,0,0.83,South
181,4719,2620,26,2022-03-14,Auto,14669.0,Approved,57,0,0.76,South
182,6120,1733,17,2022-07-21,Auto,3954.0,Approved,8,0,0.82,South
183,1139,839,4,2024-12-05,Auto,18268.0,Approved,57,0,0.06,South
184,344,4905,35,2021-04-21,Home,3540.0,Approved,14,1,0.92,South
185,4973,382,34,2025-01-31,Auto,16164.0,Approved,48,0,0.4,South
186,4360,22,25,2024-05-06,Auto,15508.0,Approved,60,0,0.4,South
187,882,3292,25,2023-07-24,Home,14474.0,Approved,55,0,0.38,South
188,3651,1950,10,2022-08-18,Auto,2173.0,Denied,59,0,0.23,South
189,701,728,28,2022-06-19,Auto,14433.0,Approved,44,0,0.56,South
190,1894,2274,35,2022-05-10,Auto,1608.0,Approved,7,0,0.63,South
191,5109,3365,4,2022-10-20,Health,6233.0,Approved,56,0,0.43,South
192,3792,412,3,2021-12-30,Health,2722.0,Denied,6,0,0.54,South
193,1297,698,28,2022-03-12,Auto,11039.0,Approved,28,0,0.83,South
194,2773,2954,26,2022-05-26,Auto,11710.0,Approved,33,0,0.2,South
195,5296,2340,25,2021-06-07,Auto,11164.0,Denied,60,0,0.47,South
196,2404,3942,8,2021-11-25,Auto,9867.0,Approved,46,0,0.84,South
197,4051,290,14,2024-06-26,Life,13136.0,Denied,27,0,0.6,South
198,6141,4881,8,2022-11-10,Auto,3626.0,Pending,32,0,0.65,South
199,1638,4585,19,2024-05-09,Auto,9782.0,Denied,57,0,0.17,South
200,157,1450,27,2024-01-01,Home,15788.0,Approved,5,0,0.98,South
201,899,2033,17,2024-01-01,Auto,14250.0,Approved,35,0,0.35,South
202,5202,2732,23,2023-04-18,Home,4308.0,Denied,46,0,0.63,South
203,2452,1097,8,2022-01-20,Home,3925.0,Approved,36,0,0.4,South
204,4910,1763,5,2023-06-26,Auto,8916.0,Denied,7,0,0.4,South
205,4245,2251,,2024-11-06,Home,12159.0,Denied,48,0,0.11,South
206,1703,3129,16,2022-11-25,Auto,17985.0,Approved,29,0,0.84,South
207,4647,490,23,2024-08-19,Auto,10778.0,Denied,52,0,0.85,South
208,2628,384,22,2025-08-30,Auto,17563.0,Approved,8,0,0.02,South
209,5719,1825,34,2022-12-26,Home,4914.0,Approved,43,0,0.75,South
210,6505,1480,30,2022-04-15,Auto,6056.0,Approved,41,0,0.68,South
211,6754,1399,40,2022-10-31,Home,7547.0,Approved,57,0,0.75,South
212,288,712,15,2025-11-23,Auto,10029.0,Approved,9,0,0.42,South
213,3966,142,1,2024-05-04,Home,1691.0,Approved,55,0,0.62,South
214,1983,3835,29,2024-02-24,Life,9045.0,Denied,11,0,0.98,South
215,5691,1997,20,2024-01-06,Life,2163.0,Approved,12,0,0.91,South
216,2706,1966,10,2024-05-23,Auto,6102.0,Denied,43,0,0.5,South
217,2434,3502,3,2021-12-04,Home,8674.0,Denied,3,0,0.03,South
218,5129,4423,11,2025-04-01,Home,9010.0,Approved,43,0,0.79,South
219,3513,839,33,2021-10-14,Home,5068.0,Denied,19,0,0.88,South
220,2514,3814,23,2023-04-22,Auto,16760.0,Approved,26,0,0.63,South
221,5073,3770,27,2024-03-21,Auto,2199.0,Approved,36,0,0.83,South
222,3201,1930,37,2022-03-29,Auto,11682.0,Approved,21,0,0.17,South
223,5817,4119,34,2024-06-12,Home,16369.0,Pending,18,0,0.07,South
224,3538,4923,29,2024-09-25,Auto,17212.0,Approved,36,0,0.06,South
225,2054,2856,33,2021-10-20,Auto,15054.0,Approved,57,1,0.97,South
226,5109,2048,22,2022-08-30,Home,3365.0,Denied,6,0,0.81,South
227,1080,2225,38,2021-07-29,Auto,1867.0,Approved,60,0,0.27,South
228,2078,124,1,2021-03-27,Home,12238.0,Approved,58,0,0.21,South
229,8,1133,1,2023-01-30,Home,10288.0,Approved,60,0,0.7,South
230,6440,413,32,2023-09-30,Auto,12638.0,Approved,60,0,0.57,South
231,6241,3826,35,2022-03-02,Home,11588.0,Denied,39,0,0.35,South
232,3830,1333,17,2022-11-09,Home,17816.0,Approved,18,0,0.89,South
233,6876,3090,37,2025-10-27,Life,14045.0,Denied,10,0,0.72,South
234,6762,2707,24,2022-05-29,Auto,10554.0,Denied,47,0,0.14,South
235,1830,1669,22,2023-10-15,Auto,5571.0,Denied,29,1,0.98,South
236,5562,4114,13,2023-02-18,Auto,326.0,Approved,57,0,0.76,South
237,4253,2753,19,2023-10-16,Home,15542.0,Denied,18,0,0.5,South
238,6881,3099,29,2025-06-16,Home,12665.0,Approved,14,0,0.52,South
239,2164,1866,29,2022-12-07,Auto,8084.0,Approved,18,0,0.82,South
240,7123,597,7,2023-02-18,Auto,10584.0,Approved,39,0,0.86,South
241,6255,2603,20,2023-10-08,Auto,3719.0,Approved,24,0,0.18,South
242,2293,2830,24,2022-11-08,Home,8870.0,Approved,51,0,0.24,South
243,6782,2584,7,2023-02-20,Life,1871.0,Approved,57,0,0.2,South
244,7576,652,13,2023-11-09,Life,12875.0,Approved,34,0,0.35,South
245,6213,1122,25,2023-06-05,Auto,12054.0,Denied,6,0,0.83,South
246,5574,3928,,2023-07-24,Auto,8937.0,Approved,9,0,0.1,South
247,1932,4377,1,2023-10-04,Auto,7053.0,Denied,42,0,0.26,South
248,5814,241,22,2022-02-17,Auto,14892.0,Approved,6,0,0.75,South
249,7109,1473,22,2023-04-21,Auto,8585.0,Approved,27,0,0.74,South
250,638,744,5,2023-06-22,Auto,7919.0,Approved,6,0,0.37,South
251,2862,255,36,2023-02-13,Home,2460.0,Approved,18,0,0.15,South
252,4844,2131,34,2024-01-10,Home,4185.0,Approved,12,0,0.53,South
253,7735,739,3,2023-05-21,Home,5878.0,Approved,37,0,0.76,South
254,4907,396,34,2022-03-02,Home,520.0,Approved,17,0,0.97,South
255,3315,393,20,2024-01-08,Life,12650.0,Pending,10,0,0.64,South
256,6463,1749,29,2024-12-27,Auto,14628.0,Denied,47,0,0.34,South
257,2214,3408,11,2023-12-26,Home,12015.0,Denied,50,0,0.47,South
258,1271,2474,12,2025-03-13,Life,511.0,Approved,50,0,0.88,South
259,2340,2653,25,2022-08-17,Home,10084.0,Approved,34,0,0.12,South
260,2710,3319,22,2024-01-10,Auto,2967.0,Approved,11,0,0.26,South
261,2724,477,19,2021-11-04,Home,13537.0,Denied,37,0,0.05,South
262,2288,4601,40,2024-04-14,Home,717.0,Approved,18,0,0.44,South
263,6533,4370,5,2024-05-08,Auto,16321.0,Approved,12,0,0.11,South
264,3794,4132,9,2021-11-07,Auto,17299.0,Pending,42,0,0.66,South
265,2588,3525,20,2024-09-17,Auto,1040.0,Denied,6,0,0.62,South
266,1633,1352,4,2024-02-27,Home,1356.0,Denied,52,0,0.55,South
267,4897,4021,27,2021-07-23,Life,614.0,,19,1,0.89,South
268,7076,4372,23,2022-05-11,Home,1220.0,Approved,4,1,0.56,South
269,6610,4230,1,2025-06-12,Home,1908.0,Denied,32,0,0.09,South
270,5629,460,36,2022-03-18,Home,16959.0,Approved,17,0,0.48,South
271,5490,678,37,2024-01-14,Auto,3747.0,Approved,11,0,0.92,South
272,2183,2036,17,2023-07-27,Home,15858.0,Denied,30,0,0.53,South
273,6469,2164,37,2022-05-23,Home,16933.0,Approved,10,0,0.91,South
274,3512,2449,4,2022-08-31,Home,8943.0,Approved,30,0,0.24,South
275,1150,2593,19,2021-10-23,Auto,1332.0,Approved,40,0,0.92,South
276,2647,4136,5,2022-07-02,Home,6739.0,Denied,32,0,0.21,South
277,3293,2511,11,2023-08-31,Home,7532.0,Approved,15,0,0.97,South
278,3779,3233,11,2022-10-11,Home,5955.0,Denied,59,0,0.9,South
279,6895,3899,22,2022-02-18,Life,11560.0,Denied,14,0,0.62,South
280,6196,1593,34,2022-07-19,Home,1389.0,Denied,44,0,0.52,South
281,2205,2008,39,2021-10-09,Home,4395.0,Denied,33,0,0.41,South
282,5048,4292,9,2025-02-10,Home,893.0,Denied,50,0,0.66,South
283,7794,4855,17,2023-11-28,Life,14084.0,Approved,38,0,0.51,South
284,4980,415,1,2022-02-25,Auto,12199.0,Approved,42,0,0.83,South
285,1886,4399,38,2023-06-06,Home,11220.0,Approved,52,0,0.42,South
286,1873,1964,10,2024-07-29,Home,10361.0,Denied,40,0,0.51,South
287,6171,4765,,2025-02-08,Auto,12278.0,Approved,55,0,0.22,South
288,5652,3362,20,2023-04-29,Auto,10454.0,Denied,47,0,0.17,South
289,2270,3119,2,2022-03-19,Auto,16873.0,Approved,37,0,0.81,South
290,3443,3654,38,2022-05-13,Auto,7290.0,Approved,29,0,0.79,South
291,7477,1326,19,2022-12-01,Home,13287.0,Approved,53,0,0.08,South
292,4341,4826,7,2024-07-04,Auto,11858.0,Pending,28,0,0.35,South
293,6142,3700,13,2024-07-31,Auto,9485.0,Denied,5,0,0.61,South
294,4138,3309,1,2023-09-02,Home,17815.0,Approved,32,0,0.57,South
295,7968,569,35,2022-02-13,Auto,15512.0,Approved,43,0,0.21,South
296,7704,348,25,2022-06-13,Auto,7610.0,Approved,41,0,0.04,South
297,5068,3734,17,2025-07-10,Auto,15195.0,Approved,62,0,0.76,South
298,4940,4911,24,2022-10-31,Auto,5986.0,Approved,45,0,0.48,South
299,7100,3976,8,2025-03-17,Home,7634.0,Denied,23,0,0.77,South
300,2041,2797,22,2023-04-25,Home,959.0,Approved,20,0,0.17,South
301,4112,899,23,2021-08-04,Home,3622.0,Approved,32,1,0.77,South
302,1139,3563,5,2021-11-10,Home,12316.0,Approved,39,0,0.75,South
303,3633,3468,4,2024-05-22,Auto,7705.0,Approved,27,0,0.23,South
304,1519,2429,34,2025-07-25,Life,12172.0,Approved,23,0,0.38,South
305,4902,4630,23,2024-12-02,Auto,3228.0,Approved,46,0,0.47,South
306,6381,1664,10,2024-07-01,Auto,420.0,Approved,48,0,0.35,South
307,4450,3526,23,2022-11-17,Auto,3530.0,Approved,49,0,0.52,South
308,6346,122,1,2024-05-16,Home,17303.0,Denied,17,0,0.81,South
309,7138,4479,35,2025-01-09,Life,10909.0,Pending,31,1,0.67,South
310,211,4454,19,2023-02-03,Life,14145.0,Approved,36,0,0.72,South
311,3207,2980,25,2023-02-19,Auto,2462.0,Approved,25,1,0.67,South
312,5575,316,27,2024-06-07,Home,12677.0,Approved,43,0,0.57,South
313,7665,2682,19,2024-11-20,Auto,11885.0,Approved,25,0,0.44,South
314,7094,2684,29,2023-03-06,Home,14855.0,Denied,61,0,0.54,South
315,172,132,6,2024-10-07,Home,12376.0,Denied,11,0,0.17,South
316,6263,4846,14,2024-10-25,Auto,8015.0,Approved,5,0,0.32,South
317,7920,315,18,2022-09-06,Auto,3041.0,Denied,31,0,0.24,South
318,4930,3986,28,2023-08-13,Home,1407.0,Approved,20,0,0.04,South
319,5624,3995,40,2021-11-23,Home,2613.0,Approved,27,1,0.57,South
320,3962,4533,10,2023-05-08,Home,1004.0,Approved,36,0,0.4,South
321,6196,597,26,2024-02-01,Home,10434.0,Approved,50,0,0.78,South
322,3071,2608,16,2023-07-31,Auto,10262.0,Approved,53,0,0.47,South
323,3784,3361,10,2022-08-25,Auto,7352.0,Approved,55,0,0.0,South
324,1013,762,34,2022-05-26,Home,6411.0,Approved,58,0,0.1,South
325,4620,4035,5,2023-09-28,Life,17451.0,Denied,9,0,0.69,South
326,834,1748,35,2021-12-31,Auto,17042.0,Approved,18,0,0.88,South
327,247,3054,35,2023-04-08,Auto,13105.0,Approved,54,0,0.47,South
328,6464,83,,2021-10-16,Auto,10492.0,Approved,10,0,0.27,South
329,1402,2090,12,2023-06-03,Home,13296.0,Pending,25,0,0.77,South
330,1411,1607,9,2022-09-19,Auto,4293.0,Denied,19,0,0.73,South
331,1420,3730,34,2023-01-12,Auto,7779.0,Approved,25,0,0.49,South
332,2772,1228,19,2023-02-08,Auto,17809.0,Approved,49,0,0.93,South
333,5148,3212,19,2024-02-07,Auto,7161.0,Approved,60,0,0.92,South
334,65,3078,2,2022-10-16,Home,10408.0,Denied,28,0,0.02,South
335,6364,4640,37,2021-06-18,Auto,4453.0,Approved,40,0,0.57,South
336,5370,763,7,2024-01-15,Auto,5051.0,Denied,60,0,0.76,South
337,3556,3676,25,2021-05-05,Auto,3540.0,Approved,7,0,0.44,South
338,800,61,3,2022-11-03,Home,13526.0,Approved,35,1,0.78,South
339,3612,647,6,2023-12-02,Auto,11087.0,Denied,4,0,0.88,South
340,2742,4412,7,2021-12-05,Auto,7079.0,Pending,38,0,0.9,South
341,290,1703,25,2023-10-23,Auto,11213.0,Denied,24,0,0.13,South
342,4952,4756,22,2021-09-16,Auto,17792.0,Approved,33,0,0.98,South
343,1803,1580,26,2021-05-22,Home,2497.0,Denied,34,0,0.49,South
344,7765,2088,8,2024-02-13,Home,6486.0,Denied,25,0,0.67,South
345,7746,3940,21,2024-07-06,Home,805.0,Denied,56,0,0.88,South
346,7181,898,18,2025-09-12,Life,12496.0,Approved,10,0,0.13,South
347,4341,4887,4,2025-08-16,Auto,14021.0,Denied,4,0,0.43,South
348,1874,2505,25,2024-04-18,Auto,1765.0,Approved,56,0,0.19,South
349,5892,4117,27,2023-02-10,Home,1968.0,Approved,34,0,0.09,South
350,7353,1282,39,2025-06-17,Home,2786.0,Approved,62,1,0.0,South
351,7473,873,37,2025-04-22,Home,17402.0,Approved,58,0,0.47,South
352,5924,2292,31,2025-06-09,Auto,2813.0,Approved,39,0,0.93,South
353,97,4233,5,2022-06-21,Life,13019.0,Approved,50,0,0.36,South
354,3468,583,12,2023-05-31,Home,9094.0,Denied,40,0,0.02,South
355,7577,4117,13,2024-09-21,Life,5130.0,Denied,17,0,0.05,South
